ds,yhat,yhat_lower,yhat_upper
2025-04-02,120.0,115.0,125.0
2025-04-03,120.5,115.4,125.6
2025-04-04,121.0,115.8,126.2
2025-04-05,121.5,116.2,126.8
2025-04-06,122.0,116.6,127.4
2025-04-07,122.5,117.0,128.0
2025-04-08,123.0,117.4,128.6
2025-04-09,123.5,117.8,129.2
2025-04-10,124.0,118.2,129.8
2025-04-11,124.5,118.6,130.4
2025-04-12,125.0,119.0,131.0
2025-04-13,125.5,119.4,131.6
2025-04-14,126.0,119.8,132.2
2025-04-15,126.5,120.2,132.8
2025-04-16,127.0,120.6,133.4
2025-04-17,127.5,121.0,134.0
2025-04-18,128.0,121.4,134.6
2025-04-19,128.5,121.8,135.2
2025-04-20,129.0,122.2,135.8
2025-04-21,129.5,122.6,136.4
2025-04-22,130.0,123.0,137.0
2025-04-23,130.5,123.4,137.6
2025-04-24,131.0,123.8,138.2
2025-04-25,131.5,124.2,138.8
2025-04-26,132.0,124.6,139.4
2025-04-27,132.5,125.0,140.0
2025-04-28,133.0,125.4,140.6
2025-04-29,133.5,125.8,141.2
2025-04-30,134.0,126.2,141.8
2025-05-01,134.5,126.6,142.4
